,Unnamed: 0,group_name,event_date,number_of_events,number_of_attendants
0,0,AWS South Wales User Group,2016,4,213
1,1,BCS South Wales,2013,4,11
2,2,BCS South Wales,2014,2,9
3,3,BCS South Wales,2015,5,18
4,4,BCS South Wales,2016,7,34
5,5,BigData Wales,2014,23,28
6,6,BigData Wales,2015,2,7
7,7,CaRdiff - the Cardiff R User Group,2015,30,130
8,8,CaRdiff - the Cardiff R User Group,2016,25,133
9,9,Cardiff Digital Analytics Meetup,2016,7,52
10,10,Cardiff Graph Databases Meetup,2014,1,20
11,11,Cardiff Graph Databases Meetup,2015,1,22
12,12,Cardiff StartUp Europe Week,2016,3,8
13,13,Cardiff Tech Talk,2015,4,132
14,14,Cardiff Tech Talk,2016,2,108
15,15,Chepstow Hackers,2016,2,12
16,16,DevOps Cardiff,2014,8,147
17,17,DevOps Cardiff,2015,10,179
18,18,DevOps Cardiff,2016,2,10
19,19,Digital Insights,2014,2,102
20,20,ExpertTalks Cardiff,2016,1,33
21,21,JS Wales,2014,1,5
22,22,JS Wales,2015,2,20
23,23,JS Wales,2016,4,41
24,24,Llansadwrn Technite Meetup,2015,16,25
25,25,Meteor Cardiff,2014,1,13
26,26,Meteor Cardiff,2015,4,27
27,27,North Wales Technology,2015,2,30
28,28,North Wales Technology,2016,18,334
29,29,Open Data Wales Meetup,2015,2,5
30,30,Open Data Wales Meetup,2016,1,6
31,31,Pembrokeshire Culture Club,2016,60,200
32,32,PyDiff,2015,2,13
33,33,PyDiff,2016,10,124
34,34,SQL Cardiff,2013,21,136
35,35,SQL Cardiff,2014,21,152
36,36,SQL Cardiff,2015,52,374
37,37,SQL Cardiff,2016,50,246
38,38,Silicon Valley Wales,2016,1,2
39,39,South Wales Agile Group,2013,6,66
40,40,South Wales Agile Group,2014,5,85
41,41,South Wales Agile Group,2015,11,279
42,42,South Wales Agile Group,2016,13,419
43,43,South Wales Technology Council,2015,7,8
44,44,South Wales Technology Council,2016,2,4
45,45,Swansea Software Development Community,2014,7,212
46,46,Swansea Software Development Community,2015,12,288
47,47,Swansea Software Development Community,2016,2,52
48,48,Swansea Tech Talk,2015,4,133
49,49,Test and QA Wales Meetup,2015,2,57
50,50,Test and QA Wales Meetup,2016,5,86
51,51,UX Wales,2012,2,11
52,52,UX Wales,2013,1,6
53,53,UX Wales,2016,4,98
54,54,UmbCardiff,2016,2,35
55,55,Wales and West - Windows Applications Group,2014,2,14
56,56,Websites 'n' Blogs,2015,5,15
57,57,Websites 'n' Blogs,2016,1,3
58,58,diff.NET,2015,5,84
59,59,diff.NET,2016,1,12
60,60,unified.diff,2013,7,132
61,61,unified.diff,2014,11,326
62,62,unified.diff,2015,8,163
63,63,unified.diff,2016,2,52
